Ticker,MCapM,MCapFinnhubM,SharesOutstandingM,MCapDivergenciaPct,MCapEstado,Pais,Industria,High52,Low52,regime_reporte,Nome,destino,motivo,faltas,Price,AvgVolN,RelVol,TendVol,RSI,SMA20_pct,Eco,Vol20d
SEER,114.3584,115.05724209345794,54.98,0.6110981733374654,COERENTE,US,Life Sciences Tools & Services,2.41,1.55,10-Q,"Seer, Inc. Class A Common Stock",PASSA_FASE0,,0,2.08,1029278.2841566508,1.777326410256393,2.611914063680655,55.49881003272724,0.3618817852834688,15.982835032083704,114.33341852481784
JAGU,31.900200000000005,31.90616813496933,20.19,0.018708769754804955,COERENTE,CA,Energy,5.5,1.41,10-Q,Jaguar Uranium Corp.,PASSA_FASE0,,0,1.58,108388.31550850796,1.3356052257186035,0.7505930141557925,39.24329390825788,-7.249779864983852,1.4154844830946185,57.43363299554326
ULCC,1493.635,1493.6305971107543,229.79,0.00029477678588074596,COERENTE,US,Airlines,8.405,3.02,10-Q,"Frontier Group Holdings, Inc. Common Stock",PASSA_FASE0,,0,6.5,4956148.076560618,1.2935483901651312,0.8083504796223271,50.65626664226596,-2.259313559640608,1.048185912104732,72.55676460816174
SNDL,312.204,312.3599931147541,260.17,0.04996512368646844,COERENTE,CA,Pharmaceuticals,2.89,1.165,20-F,Sundial Growers Inc. Common Shares,PASSA_FASE0,,0,1.2,2123974.2761137937,1.4185454451726036,0.8427810607940229,34.87252304562115,-7.156673114119927,1.6236845475383874,50.91465286137282
VRRM,774.741,774.7239442822968,151.91,0.0022014734863962104,COERENTE,US,Professional Services,25.57,3.4,10-Q,Verra Mobility Corporation Class A Common Stock,PASSA_FASE0,,0,5.1,6830147.231097444,3.825422712107015,0.602867273330481,58.245393304396565,20.304299109512325,1.0,83.77364753476246
TOP,78.3021,1305.0925609867256,37.11,1566.7401780881046,DIVERGENTE,HK,Financial Services,3.33,0.612,20-F,TOP Financial Group Limited Class A Ordinary Shares,PASSA_FASE0,,0,2.11,269641.32558995235,1.5678574336817208,1.9866008558463728,54.41953667588106,-1.0318949343339543,5.423719076725368,144.4528961499795
SOUN,2466.7889999999998,2483.3428596153844,432.77,0.6710691354381959,COERENTE,US,Technology,22.17,5.6501,10-Q,"SoundHound AI, Inc. Class A Common Stock",PASSA_FASE0,,0,5.7,30126663.560172524,1.5457976903247337,1.0991500675321932,33.99205608961752,-11.809074382083306,1.0689918890962091,55.38944667529483
HTZ,527.3191999999999,589.1786246912181,315.76,11.730925915691714,DIVERGENTE,US,Road & Rail,8.18,1.56,10-Q,"Hertz Global Holdings, Inc Common Stock",PASSA_FASE0,,0,1.67,16434319.005406808,1.5299848456272918,1.3375820442953372,27.564552226413667,-13.449080072557674,1.699250888408003,92.4478861552776
NRXS,74.7752,75.36294472281776,12.38,0.7860155811254987,COERENTE,US,Health Care,9.33,2.1963,10-Q,"Neuraxis, Inc.",PASSA_FASE0,,0,6.04,119038.22231998414,1.4089208592612184,0.6159059137553303,31.56179777075729,-12.628381310574277,1.0,41.75179507010135
RBBN,385.74659999999994,385.74455101463417,176.14,0.0005311739275981608,COERENTE,US,Communications,4.24,1.8,10-Q,Ribbon Communications Inc. Common Stock,PASSA_FASE0,,0,2.19,927350.8467836032,1.9417179713927424,0.840994774194495,46.9255347165665,0.3896401558560747,1.443033684161294,70.24213955483363
