Ticker,na_shortlist,A,B,C,B_rsi,B_macd,B_bounce,C_lateral,C_hl,C_coil,n
INSG,False,True,False,True,False,False,False,False,False,True,2
ZDGE,False,False,False,True,False,False,False,True,False,True,1
HTZ,True,True,False,True,False,False,False,False,False,True,2
CDT,False,False,False,True,False,False,False,False,False,True,1
DIBS,False,False,False,True,False,False,False,True,True,False,1
FGNX,False,True,False,True,False,False,False,False,True,False,2
REI,False,False,False,True,False,False,False,False,True,True,1
IHT,False,False,False,True,False,False,False,False,True,False,1
CRON,False,True,True,True,False,True,False,True,True,True,3
ARMP,False,True,True,False,True,False,True,False,False,False,2
GNLX,False,False,False,True,False,False,False,True,False,True,1
CJMB,False,True,False,True,False,False,False,False,True,False,2
REAX,False,True,False,True,False,False,False,True,False,False,2
LGPS,False,True,False,True,False,False,False,False,True,False,2
PLX,False,False,False,True,False,False,False,True,True,True,1
KULR,False,False,False,True,False,False,False,False,False,True,1
RGP,False,True,False,True,False,False,False,True,False,False,2
DC,False,False,True,True,False,False,True,True,True,False,2
TARA,False,False,False,True,False,False,False,True,False,True,1
WBUY,False,True,True,False,False,False,True,False,False,False,2
YDES,False,True,False,True,False,False,False,False,True,False,2
MAIA,False,True,False,True,False,False,False,True,False,True,2
NRXS,True,True,False,True,False,False,False,True,False,True,2
PHUN,False,False,False,True,False,False,False,True,True,True,1
LPA,False,False,False,True,False,False,False,True,False,False,1
SERV,False,True,False,True,False,False,False,False,False,True,2
OABI,False,False,False,True,False,False,False,False,False,True,1
AIIO,False,False,True,True,False,False,True,False,True,True,2
ALEC,False,False,True,True,True,True,False,False,True,False,2
NTRP,False,True,False,False,False,False,False,False,False,False,1
COYA,False,True,False,True,False,False,False,True,False,True,2
TMQ,False,True,False,True,False,False,False,False,False,True,2
DOMH,False,True,False,True,False,False,False,False,False,True,2
RBBN,True,True,True,False,False,True,False,False,False,False,2
WTF,False,False,False,True,False,False,False,False,True,True,1
AMPG,False,True,False,True,False,False,False,False,False,True,2
PSEC,False,False,False,True,False,False,False,True,False,False,1
SABS,False,True,False,True,False,False,False,True,False,True,2
ARCT,False,True,False,True,False,False,False,False,False,True,2
WOOF,False,False,True,True,False,False,True,True,True,True,2
CPSH,False,True,False,True,False,False,False,False,False,True,2
HNST,False,False,False,True,False,False,False,True,True,True,1
FOFO,False,False,False,True,False,False,False,False,False,True,1
