Ticker,Nome,destino,motivo,faltas,Price,AvgVolN,RelVol,TendVol,RSI,SMA20_pct,Eco,Vol20d
UUU,"Universal Safety Products, Inc.",PASSA_FASE0,,0,3.12,26428.315948317464,0.29429416596993424,0.556853512112902,23.27469812263716,-18.370550606334145,4.317659083550056,79.71965861838763
CLNE,Clean Energy Fuels Corp.,PASSA_FASE0,,0,1.89,1545991.431001476,0.5299027012829658,1.17417887857298,35.84670344806639,-12.07257501744593,4.216895248749119,51.952718536485186
STI,"Solidion Technology, Inc. Common Stock",PASSA_FASE0,,0,6.06,2843426.5591361583,0.021352248032192878,0.06461882729537437,37.43325481196037,-15.727993324989576,7.071777264232895,93.63039336394392
USBC,"USBC, Inc.",PASSA_FASE0,,0,0.3074,1910826.9671008734,0.057672627190938304,0.11358118368636812,41.84493167570604,-6.449434991411085,6.1356729974020086,70.58933653501676
BKH,Black Hills Corporation,PASSA_FASE0,,0,72.94,928405.7400159525,0.8296241329343412,0.7727210188310806,43.499946880698445,-1.8799394652766255,1.2759191608244984,20.838810662056154
MARA,"MARA Holdings, Inc. Common Stock",PASSA_FASE0,,0,10.05,45363552.916564524,0.9627675309591153,1.1052715015476964,34.52391049830386,-16.866572917528334,2.247352022892526,88.74357840841826
DGII,Digi International Inc,PASSA_FASE0,,0,65.53,378936.1347930318,0.8964156745160489,1.0618304410333292,45.019659830871724,-3.403646869794652,1.9713396696941912,41.50495223693367
BTDR,Bitdeer Technologies Group Class A Ordinary Shares,PASSA_FASE0,,0,8.9,9627288.417469587,2.191494495382884,0.8827340918375103,29.070771172807795,-27.642276422764233,1.0,112.3015828843841
DECK,Deckers Outdoor Corp,PASSA_FASE0,,0,103.54,2267336.715238984,0.9504420594445582,1.0356492637707084,49.561121089913684,-0.10468072379241633,2.384430838309584,42.25734949834603
PRE,Prenetics Global Limited Class A Ordinary Share,PASSA_FASE0,,0,18.02,244146.10922579363,0.3180078958055229,1.0539161778352668,45.09642151630234,-4.201166916973465,11.755739081763204,100.5156811144169
DD,"DuPont de Nemours, Inc. Common Stock",PASSA_FASE0,,0,138.1,1331824.5101966194,1.0988763705324356,0.921083548565454,49.458923557438695,0.6244398621423342,1.0,20.196561491986
U,Unity Software Inc.,PASSA_FASE0,,0,32.04,8912051.33408265,0.9140283183528681,0.7844349385839464,62.53274045329878,6.163021868787277,1.5991787522760708,46.01314838345036
TD,Toronto Dominion Bank,PASSA_FASE0,,0,116.99,2398759.950333666,1.104430299840336,1.3287589751234752,41.950451324691045,-3.1800219311857503,2.3375862939972087,22.374785506151934
ROCK,"Gibraltar Industries, Inc.",PASSA_FASE0,,0,43.1,360492.6645608254,1.365937649815663,0.80932442375238,49.50254518630838,-1.2933773810682614,1.0,46.896053328921234
NRIX,"Nurix Therapeutics, Inc. Common stock",PASSA_FASE0,,0,23.6,1991179.9366804126,0.5877567732166437,0.6152035787663026,59.31657704316778,-0.042354934349841944,1.3362507896922302,37.850656665138324
ED,"Consolidated Edison, Inc.",PASSA_FASE0,,0,112.25,2427042.3576853178,0.9577700716916755,0.8684844514497947,54.43281180714634,0.37197989877855164,1.2784950855171318,19.70641866396233
BAC,Bank of America Corporation,PASSA_FASE0,,0,61.07,35922387.98828758,1.0555816882115248,0.9627365951331541,58.18836743051205,0.8629588339733374,1.3577594105695383,21.540444651873912
TRMB,Trimble Inc. Common Stock,PASSA_FASE0,,0,58.24,2921276.1681945873,0.9195305492928224,0.9244888708322413,66.58715583936515,9.595227790218486,1.6442212391490685,39.703149594468826
IBKR,"Interactive Brokers Group, Inc. Class A Common Stock",PASSA_FASE0,,0,86.26,4841562.41154046,1.4935159207224384,0.9120457025391684,39.07378027901485,-7.235840991090292,1.0285483909828907,46.647815543619075
SRZN,"Surrozen, Inc. Common",PASSA_FASE0,,0,19.2,141680.58789773018,2.2153236837678905,1.241071001904115,31.806029252129207,-13.13003348113292,1.4622528130765382,49.09344119264752
ODFL,Old Dominion Freight Line,PASSA_FASE0,,0,222.79,1911619.263814349,1.5500088981917484,0.7879969221140849,45.2647734433794,-1.7660202319052076,1.0,29.42294111348596
QNC,Quantum eMotion Corp.,PASSA_FASE0,,0,1.94,1671342.6225854128,0.6236043378632475,0.46920221952966085,30.73612797848658,-20.312179092216077,1.4134299866063824,68.44247360479166
BULL,Webull Corporation Class A Ordinary Shares,PASSA_FASE0,,0,7.01,11892422.72252827,0.6988830240902365,0.7680193587901186,45.14243840570856,-5.962841236836813,1.9935591785383093,57.482029485722805
TPET,Trio Petroleum Corp.,PASSA_FASE0,,0,0.288,3933345.0754609685,0.5469037498483131,1.1425878247251302,43.045611608543524,-6.799132714151634,17.01239821439224,86.49062045918713
ACGL,Arch Capital Group Ltd,PASSA_FASE0,,0,104.55,2300350.2862359686,1.2544606290065627,0.7756511883223339,61.2042323455138,2.7983166837096007,1.0,27.91013687034254
THRY,"Thryv Holdings, Inc. Common Stock",PASSA_FASE0,,0,4.14,783021.1324550158,0.40385030512847225,0.5846495588343524,55.610247863568986,1.9265095094479046,2.2761523468751097,60.738580493228675
CING,Cingulate Inc. Common Stock,PASSA_FASE0,,0,4.525,508851.0419307461,0.24624610064383734,0.5356382665393952,43.17769508901099,-6.256474000414325,6.65718207906272,57.7950777764445
VNRX,VolitionRx Limited,PASSA_FASE0,,0,0.7726,302358.51127830154,0.8257486906667326,0.7403238325087755,21.641558599190702,-34.01910422778184,1.7231919840142293,70.64633057690767
SUNE,"SUNation Energy, Inc. Common Stock",PASSA_FASE0,,0,2.16,7792448.070167746,0.01609281967692349,0.7941106556686096,45.18421229548371,-14.06405410781777,605.9718930336371,188.85713287755678
BLFS,BioLife Solutions Inc.,PASSA_FASE0,,0,31.5,1073883.8529139047,0.9905293916708887,1.480141984626184,64.5118224787889,7.751248546213296,9.155026018652514,44.611464769775694
ARDX,"Ardelyx, Inc.",PASSA_FASE0,,0,5.0,3938672.292242635,0.5543311599338054,0.7822969841094582,37.033659138022024,-3.5958739034030796,2.3949375097462933,26.07413239895421
WLFC,Willis Lease Finance Corp,PASSA_FASE0,,0,69.22,396366.89131836506,0.6374827825567493,0.8715082513646234,50.41176527878099,-1.9160102346293173,2.449937224465893,49.10426192592629
FE,FirstEnergy Corp.,PASSA_FASE0,,0,49.13,4966446.606777094,1.1306581528132051,0.8050464499564285,55.210198005050515,0.9804123075658255,1.3342440820882426,19.966229326679077
POWW,Outdoor Holding Company Common Stock,PASSA_FASE0,,0,2.14,714434.9427309526,0.9896239396807551,1.0820567729058075,43.56846716723741,-6.733493135759428,3.6183519026360336,39.15192596860608
OMER,Omeros Corporation,PASSA_FASE0,,0,11.67,1819173.5394249998,0.9268237419014592,0.8113913363743186,61.88083361321773,14.805705853418605,1.9931808809336302,85.2563717934965
CNL,Collective Mining Ltd.,PASSA_FASE0,,0,12.44,60591.87593517458,0.7705567632524146,1.0175685061544273,44.662201382754446,-1.586171433092043,3.79583282219392,68.04165713568818
BATL,Battalion Oil Corporation,PASSA_FASE0,,0,1.52,15458396.12463289,0.9807448093646935,1.4036088982184838,48.88360147474362,-3.1847133757961665,9.256585357552618,164.37182642025948
NWFL,Norwood Financial Corp,PASSA_FASE0,,0,33.62,35162.75521590477,0.7855514117251535,0.976026599352673,62.958906227927535,5.46375663657821,2.468184043191132,31.449061195265866
GWRS,"Global Water Resources, Inc.",PASSA_FASE0,,0,7.48,118353.4870998889,0.6721302737946508,0.7733621855264788,61.52496792692869,4.454685099846412,1.7543606014822184,26.212119980278022
BESS,Bimergen Energy Corporation,PASSA_FASE0,,0,2.55,582598.936862603,0.18296863389769513,0.20872457144129347,35.37805099448909,-29.969104016477864,2.58223664569655,121.35579084452355
FRGT,"Freight Technologies, Inc. Ordinary Shares",PASSA_FASE0,,0,2.695,217217.74362500003,0.08633839246749977,0.5231777059766427,37.74280932900354,-27.93635938231165,62.98893795740212,154.37347763083415
MLSS,"Milestone Scientific, Inc. Common Stock",PASSA_FASE0,,0,0.376,285243.4817684127,0.17056887174901894,0.43017836584701996,47.887939193812485,-3.5687265173178773,7.713520602584203,82.16143438611398
VHUB,"VenHub Global, Inc. Common Stock",PASSA_FASE0,,0,0.7032,365787.44750331744,0.0782143949861498,0.29174277961775097,32.72941359268164,-25.890015386885313,8.775125837439468,104.32755132689479
RUM,RUM Group Inc. Class A Common Stock,PASSA_FASE0,,0,5.66,3330227.33962238,0.5908153918435202,0.6771733442662247,39.48527234473167,-6.446280991735531,1.7507761316952712,57.72701802218918
FCAP,First Capital Inc,PASSA_FASE0,,0,63.69,8416.775875349207,1.570700384064997,1.3589882584910138,56.59769598553292,2.533143367704205,1.7214529069082751,27.59041065769247
POWI,Power Integrations Inc,PASSA_FASE0,,0,56.57,1162455.2515376508,0.6402703107543175,0.6462172025509745,29.719343261420264,-18.34378033509796,1.804752671843476,70.83074169704102
BHFAM,"Brighthouse Financial, Inc. Depositary shares each representing a 1/1,000th Interest in a Share of 4.625% Non-Cumulative Preferred Stock, Series D",PASSA_FASE0,,0,9.925,40102.638096507944,1.1554352082397004,1.458041642654216,30.69414440428153,-4.108596410714704,2.1688320096685083,18.420478455386096
STRZ,Starz Entertainment Corp. Common Shares,PASSA_FASE0,,0,26.13,160466.42248452382,0.781762439553974,0.9762870599505589,47.50605638818029,-4.152299904629164,2.1772602778280308,50.84445169864566
